Title,Sentiment Score
Shallow,-0.013257575757575711
Die With A Smile,0.11380494505494504
Poker Face,0.2629901960784314
Bad Romance,-0.1307563025210083
Always Remember Us This Way,0.055555555555555546
Rain On Me,0.013973063973063974
Born This Way,0.24428146258503416
Do What U Want,0.05925925925925925
Sour Candy,-0.06634615384615385
Paparazzi,0.3019345238095238
Sexxx Dreams,0.0077586206896551714
Million Reasons,0.23780864197530865
I’ll Never Love Again (Extended Version),-0.0625
Bloody Mary,-0.12142857142857144
Just Dance,0.10431096681096683
911,-0.04368538533834586
Applause,0.17777365491651212
Judas,0.06704260651629071
The Cure,0.3630252100840336
Telephone,-0.09400673400673402
Alejandro,0.25454545454545463
Venus,0.4191287878787879
Scheiße,0.16904761904761895
Aura,-0.14166666666666664
Perfect Illusion,0.57062893081761
LoveGame,-0.023247354497354485
Make Her Say (I Poke Her Face),0.009352453102453107
Donatella,0.16485422653256704
Babylon,-0.21090605301131624
Gypsy,0.20438596491228067
Sine from Above,0.25882352941176473
Monster,0.04671886273448774
Yoü and I,0.09545498272771002
Stupid Love,-0.015236318407960175
Replay,0.19166666666666665
Maybe It’s Time,0.08918128654970763
Disease,-0.13958333333333334
John Wayne,0.008400573192239864
Free Woman,0.3663594470046085
Swine,-0.19965608465608467
Mary Jane Holland,0.47299107142857144
Is That Alright?,0.2682142857142857
ARTPOP,-0.004285714285714282
Dope,0.10970454247313736
Hold My Hand,0.2
Fun Tonight,0.11923076923076925
I’ll Never Love Again (Film Version),-0.08928571428571429
Government Hooker,-0.0001792114695340585
MANiCURE,-0.019431818181818186
Speechless,-0.05252525252525253
3-Way (The Golden Rule),0.1184074124178291
Enigma,0.24
Plastic Doll,0.044356520672310135
Fashion!,0.507055630936228
The Edge of Glory,0.06785714285714285
1000 Doves,-0.049603174603174593
Diamond Heart,0.15080532212885153
Jewels N’ Drugs,0.04348148148148153
Marry the Night,0.16713606654783122
Americano,0.4625
Angel Down,-0.14786324786324792
Look What I Found,-0.05850694444444445
Dancin’ in Circles,0.06706349206349206
Hey Girl,0.05648148148148148
Cake Like Lady Gaga,-0.17716931216931217
Dance in the Dark,-0.05564516129032258
Heavy Metal Lover,0.03667837798272574
Hair,-0.04722222222222223
Music to My Eyes,0.3888888888888889
Fashion (2009),0.26809764309764306
Boys Boys Boys,0.27874236874236874
Someone You Loved,0.2518518518518518
Grigio Girls,-0.28376068376068375
I Don’t Know What Love Is,0.25
Sinner’s Prayer,0.41186342592592573
So Happy I Could Die,0.5071428571428572
Just Another Day,-0.007996369949494953
Black Eyes,-0.34002976190476186
Happy Mistake,-0.005357142857142838
La Vie en Rose,0.35000000000000003
Love Me Right,0.2638214285714286
Why Did You Do That?,0.19523809523809524
Til It Happens To You,0.32777777777777783
Teeth,0.05670731707317075
Heal Me,0.0069444444444444154
Sweet Sounds of Heaven,0.1300480769230768
Come to Mama,0.030509839777081157
Chillin,-0.5
"Eh, Eh (Nothing Else I Can Say)",0.11180555555555562
Bad Kids,-0.2810685249709638
Christmas Tree,0.18823529411764706
Paper Gangsta,0.16466666666666668
Diggin’ My Grave,-0.003472222222222219
Before I Cry,-0.05142857142857142
Hair Body Face,0.234375
"Where Are You, Christmas?",0.33125
Brown Eyes,0.3542857142857143
Video Phone (Extended Remix),0.3135035419126328
